"pattern"	"count"	"nhits"	"name"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHB"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	2	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	10	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|betalactams|Class_A_betalactamases|TEM"	1739	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|betalactams|Class_B_betalactamases|CAU"	4	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation"	3	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation"	2	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Lipopeptides|Colistin-resistant_mutant|PHOQ|RequiresSNPConfirmation"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation"	42	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXA"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation"	2	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation"	6	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation"	2	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Metals|Copper_resistance|Copper_resistance_regulator|PCOR"	3	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Metals|Mercury_resistance|Mercury_resistance_protein|MERA"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Metals|Mercury_resistance|Mercury_resistance_protein|MERE"	5	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP"	3	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY"	1	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXI"	2	1835	"G527_96_NoTemplate-LibraryPrep_S96"
"Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR"	536	1230334	"G527_95_MockCommunity_S95"
"Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT"	1504	1230334	"G527_95_MockCommunity_S95"
"Biocides|Acid_resistance|Acid_resistance_protein|ASR"	355	1230334	"G527_95_MockCommunity_S95"
"Biocides|Acid_resistance|Acid_resistance_protein|GADA"	1220	1230334	"G527_95_MockCommunity_S95"
"Biocides|Acid_resistance|Acid_resistance_protein|GADB"	738	1230334	"G527_95_MockCommunity_S95"
"Biocides|Acid_resistance|Acid_resistance_protein|GADC"	411	1230334	"G527_95_MockCommunity_S95"
"Biocides|Acid_resistance|Acid_resistance_protein|YDEP"	589	1230334	"G527_95_MockCommunity_S95"
"Biocides|Acid_resistance|Acid_resistance_regulator|EVGA"	182	1230334	"G527_95_MockCommunity_S95"
"Biocides|Acid_resistance|Acid_resistance_regulator|GADE"	158	1230334	"G527_95_MockCommunity_S95"
"Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB"	251	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMDB"	55	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMRA"	50	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|LDE"	434	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|SMVA"	365	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|YJCG"	619	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR"	115	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|BLTR"	116	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP"	111	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS"	1251	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB"	390	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO"	250	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHB"	226	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXV"	273	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXW"	744	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRJ"	706	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM"	597	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTB"	263	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC"	1848	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TTGE"	75	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEB"	137	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEQ"	46	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRA"	133	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRB"	138	1230334	"G527_95_MockCommunity_S95"
"Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE"	653	1230334	"G527_95_MockCommunity_S95"
"Biocides|Paraquat_resistance|Paraquat_efflux_pump|YDDG"	219	1230334	"G527_95_MockCommunity_S95"
"Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC"	1115	1230334	"G527_95_MockCommunity_S95"
"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA"	989	1230334	"G527_95_MockCommunity_S95"
"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB"	568	1230334	"G527_95_MockCommunity_S95"
"Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI"	149	1230334	"G527_95_MockCommunity_S95"
"Biocides|Peroxide_resistance|peroxide_resistance_regulator|PERR"	243	1230334	"G527_95_MockCommunity_S95"
"Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA"	128	1230334	"G527_95_MockCommunity_S95"
"Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB"	331	1230334	"G527_95_MockCommunity_S95"
"Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI"	321	1230334	"G527_95_MockCommunity_S95"
"Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABL"	247	1230334	"G527_95_MockCommunity_S95"
"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIA"	299	1230334	"G527_95_MockCommunity_S95"
"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIB"	242	1230334	"G527_95_MockCommunity_S95"
"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIC"	765	1230334	"G527_95_MockCommunity_S95"
"Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation"	348	1230334	"G527_95_MockCommunity_S95"
"Biocides|Polyamine_resistance|Spermine/spermidine_acetyltransferase|BLTD"	147	1230334	"G527_95_MockCommunity_S95"
"Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC_efflux_pump|EMEA"	442	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	2034	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation"	9848	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE"	375	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3"	230	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME"	283	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME"	75131	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME"	236	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME"	565	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	158237	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	17212	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	14437	1230334	"G527_95_MockCommunity_S95"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation"	14438	1230334	"G527_95_MockCommunity_S95"
"Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA"	852	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_A_betalactamases|BLAZ"	39484	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_A_betalactamases|CTX"	1	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_A_betalactamases|TEM"	3097	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_C_betalactamases|ACT"	277	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_C_betalactamases|AMPC"	388	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_C_betalactamases|AZECL"	56	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_C_betalactamases|BLAEC"	3140	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_C_betalactamases|CMY"	176	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_C_betalactamases|MIR"	1400	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_C_betalactamases|PDC"	98621	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Class_D_betalactamases|OXA"	2629	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation"	2593	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Mutant_porin_proteins|OMP37"	63	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation"	479	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Mutant_porin_proteins|OPRD|RequiresSNPConfirmation"	221	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Penicillin_binding_protein_regulator|BLAI"	192	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR"	2663	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Penicillin_binding_protein|AMPH"	346	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Penicillin_binding_protein|PBP2"	579	1230334	"G527_95_MockCommunity_S95"
"Drugs|betalactams|Penicillin_binding_protein|PBP4B"	388	1230334	"G527_95_MockCommunity_S95"
"Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation"	14438	1230334	"G527_95_MockCommunity_S95"
"Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF"	821	1230334	"G527_95_MockCommunity_S95"
"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA"	476	1230334	"G527_95_MockCommunity_S95"
"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF"	321	1230334	"G527_95_MockCommunity_S95"
"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD"	309	1230334	"G527_95_MockCommunity_S95"
"Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|ARNA"	527	1230334	"G527_95_MockCommunity_S95"
"Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS"	373	1230334	"G527_95_MockCommunity_S95"
"Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS|RequiresSNPConfirmation"	217	1230334	"G527_95_MockCommunity_S95"
"Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation"	15139	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fluoroquinolones|Fluoroquinolone_resistance_phosphotransferase|CRPP"	60	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation"	25125	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation"	1372	1230334	"G527_95_MockCommunity_S95"
