"pattern"	"count"	"nhits"	"sample"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHB"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	2	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	10	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|betalactams|Class_A_betalactamases|TEM"	1739	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|betalactams|Class_B_betalactamases|CAU"	4	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation"	3	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation"	2	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Lipopeptides|Colistin-resistant_mutant|PHOQ|RequiresSNPConfirmation"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation"	42	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXA"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation"	2	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation"	6	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation"	2	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Metals|Copper_resistance|Copper_resistance_regulator|PCOR"	3	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Metals|Mercury_resistance|Mercury_resistance_protein|MERA"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Metals|Mercury_resistance|Mercury_resistance_protein|MERE"	5	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP"	3	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY"	1	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXI"	2	1835	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_96_NoTemplate-LibraryPrep_S96.txt"
"Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR"	536	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT"	1504	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Acid_resistance|Acid_resistance_protein|ASR"	355	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Acid_resistance|Acid_resistance_protein|GADA"	1220	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Acid_resistance|Acid_resistance_protein|GADB"	738	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Acid_resistance|Acid_resistance_protein|GADC"	411	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Acid_resistance|Acid_resistance_protein|YDEP"	589	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Acid_resistance|Acid_resistance_regulator|EVGA"	182	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Acid_resistance|Acid_resistance_regulator|GADE"	158	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB"	251	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMDB"	55	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMRA"	50	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|LDE"	434	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|SMVA"	365	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|YJCG"	619	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR"	115	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|BLTR"	116	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP"	111	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS"	1251	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB"	390	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO"	250	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHB"	226	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXV"	273	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXW"	744	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRJ"	706	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM"	597	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTB"	263	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC"	1848	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TTGE"	75	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEB"	137	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
