"count"	"nhits"	"name"	"class"	"type"	"protein"	"gene"	"farm"	"animal"	"sample"	"site"
1	127	"G527_92_P2A9_SNP_S92"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_RND_efflux_regulator"	"NALD"	"2"	"9"	"92"	"SNP"
126	127	"G527_92_P2A9_SNP_S92"	"Drugs"	"Phenicol"	"Phenicol-resistant_23S_rRNA_mutation"	"PH23S"	"2"	"9"	"92"	"SNP"
3	60	"G527_91_P2A7_SNP_S91"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"A16S"	"2"	"7"	"91"	"SNP"
1	60	"G527_91_P2A7_SNP_S91"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSC"	"2"	"7"	"91"	"SNP"
1	60	"G527_91_P2A7_SNP_S91"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSH"	"2"	"7"	"91"	"SNP"
1	60	"G527_91_P2A7_SNP_S91"	"Drugs"	"Cationic_antimicrobial_peptides"	"Cationic_peptide-resistant_16S_ribosomal_subunit_protein"	"CAP16S"	"2"	"7"	"91"	"SNP"
1	60	"G527_91_P2A7_SNP_S91"	"Drugs"	"MLS"	"Lincosamide_nucleotidyltransferases"	"LNUC"	"2"	"7"	"91"	"SNP"
8	60	"G527_91_P2A7_SNP_S91"	"Drugs"	"MLS"	"Macrolide-resistant_23S_rRNA_mutation"	"MLS23S"	"2"	"7"	"91"	"SNP"
1	60	"G527_91_P2A7_SNP_S91"	"Drugs"	"Oxazolidinone"	"Oxazolidinone-resistant_23S_rRNA_mutation"	"O23S"	"2"	"7"	"91"	"SNP"
42	60	"G527_91_P2A7_SNP_S91"	"Drugs"	"Phenicol"	"Phenicol-resistant_23S_rRNA_mutation"	"PH23S"	"2"	"7"	"91"	"SNP"
1	60	"G527_91_P2A7_SNP_S91"	"Drugs"	"Tetracyclines"	"Tetracycline-resistant_16S_ribosomal_subunit_protein"	"TET16S"	"2"	"7"	"91"	"SNP"
1	60	"G527_91_P2A7_SNP_S91"	"Metals"	"Mercury_resistance"	"Mercury_resistance_protein"	"MERA"	"2"	"7"	"91"	"SNP"
2	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"GYRBA"	"2"	"29"	"90"	"SNP"
2	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC3-PRIME"	"2"	"29"	"90"	"SNP"
1	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"	"2"	"29"	"90"	"SNP"
1	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT2-DPRIME"	"2"	"29"	"90"	"SNP"
3	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"	"2"	"29"	"90"	"SNP"
9	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT6"	"2"	"29"	"90"	"SNP"
104	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"A16S"	"2"	"29"	"90"	"SNP"
16	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSA"	"2"	"29"	"90"	"SNP"
6	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSC"	"2"	"29"	"90"	"SNP"
6	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSH"	"2"	"29"	"90"	"SNP"
3	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CARB"	"2"	"29"	"90"	"SNP"
2	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"GES"	"2"	"29"	"90"	"SNP"
3	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"IMP"	"2"	"29"	"90"	"SNP"
1	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"VIM"	"2"	"29"	"90"	"SNP"
1	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"	"2"	"29"	"90"	"SNP"
6	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Cationic_antimicrobial_peptides"	"Cationic_peptide-resistant_16S_ribosomal_subunit_protein"	"CAP16S"	"2"	"29"	"90"	"SNP"
18	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Elfamycins"	"EF-Tu_inhibition"	"TUFAB"	"2"	"29"	"90"	"SNP"
1	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRB"	"2"	"29"	"90"	"SNP"
2	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Lipopeptides"	"Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOBL"	"2"	"29"	"90"	"SNP"
1	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"MLS"	"Lincosamide_nucleotidyltransferases"	"LNUC"	"2"	"29"	"90"	"SNP"
128	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"MLS"	"Macrolide-resistant_23S_rRNA_mutation"	"MLS23S"	"2"	"29"	"90"	"SNP"
