ID	Label	Sample	Concentration (ng/uL)	Label					Sample de-coder	Other sample name	Sample type (species / sample type)	Max M reads to obtain	Index (TBD if core to prepare samples)	Analysis	Date of sample submission
37	P1A11	fecal swab	7.79	P1	11	feces	P1A11.feces	ok	G527.1	P1A11.feces	feces.farm1.P1A11	145 million (PE) 72 million fragments			
38	P1A13	fecal swab	7.87	P1	13	feces	P1A13.feces	FALSE	G527.2	P1A13.feces	feces.farm1.P1A13	145 million (PE) 72 million fragments			
39	P1A14	fecal swab	1	P1	14	feces	P1A14.feces	FALSE	G527.3	P1A14.feces	feces.farm1.P1A14	145 million (PE) 72 million fragments			
51	P1A16	fecal swab	14.92	P1	16	feces	P1A16.feces	FALSE	G527.4	P1A19.feces	feces.farm1.P1A19	145 million (PE) 72 million fragments			
40	P1A19	fecal swab	14.91	P1	19	feces	P1A19.feces	FALSE	G527.5	P1A2.feces	feces.farm1.P1A2	145 million (PE) 72 million fragments			
32	P1A2	fecal swab	16.84	P1	2	feces	P1A2.feces	FALSE	G527.6	P1A20.feces	feces.farm1.P1A20	145 million (PE) 72 million fragments			
41	P1A20	fecal swab	56.99	P1	20	feces	P1A20.feces	FALSE	G527.7	P1A22.feces	feces.farm1.P1A22	145 million (PE) 72 million fragments			
42	P1A22	fecal swab	11.75	P1	22	feces	P1A22.feces	FALSE	G527.8	P1A24.feces	feces.farm1.P1A24	145 million (PE) 72 million fragments			
43	P1A24	fecal swab	4.77	P1	24	feces	P1A24.feces	FALSE	G527.9	P1A25.feces	feces.farm1.P1A25	145 million (PE) 72 million fragments			
44	P1A25	fecal swab	11.8	P1	25	feces	P1A25.feces	FALSE	G527.10	P1A26.feces	feces.farm1.P1A26	145 million (PE) 72 million fragments			
45	P1A26	fecal swab	6.22	P1	26	feces	P1A26.feces	FALSE	G527.11	P1A28.feces	feces.farm1.P1A28	145 million (PE) 72 million fragments			
46	P1A28	fecal swab	10.83	P1	28	feces	P1A28.feces	FALSE	G527.12	P1A29.feces	feces.farm1.P1A29	145 million (PE) 72 million fragments			
47	P1A29	fecal swab	9.51	P1	29	feces	P1A29.feces	FALSE	G527.13	P1A4.feces	feces.farm1.P1A4	145 million (PE) 72 million fragments			
33	P1A4	fecal swab	11.65	P1	4	feces	P1A4.feces	FALSE	G527.14	P1A7.feces	feces.farm1.P1A7	145 million (PE) 72 million fragments			
34	P1A7	fecal swab	19.43	P1	7	feces	P1A7.feces	FALSE	G527.15	P1A8.feces	feces.farm1.P1A8	145 million (PE) 72 million fragments			
35	P1A8	fecal swab	9.41	P1	8	feces	P1A8.feces	FALSE	G527.16	P1A9.feces	feces.farm1.P1A9	145 million (PE) 72 million fragments			
36	P1A9	fecal swab	10.4	P1	9	feces	P1A9.feces	FALSE	G527.17	P1A11.rumen	rumen.farm1.P1A11	145 million (PE) 72 million fragments			
68	P1A11	rumen fluid	16.06	P1	11	rumen	P1A11.rumen	FALSE	G527.18	P1A13.rumen	rumen.farm1.P1A13	145 million (PE) 72 million fragments			
