"broadclass"	"type"	"protein"	"median_1"	"median_2"	"IQR_1"	"IQR_2"	"prestotal_1"	"prestotal_2"	"persamp.pres_1"	"persamp.pres_2"	"padj"
"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_ABC_efflux_pump"	0	0	0.00963156222451037	0	66	27	1.375	0.627906976744186	0
"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	0	0	0	0	168	68	3.5	1.58139534883721	0
"Drugs"	"Aminoglycosides"	"16S_rRNA_methyltransferases"	0	0	0	0	22	5	0.458333333333333	0.116279069767442	0.0196
"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	0.0097069824130099	0	0.0703388992146573	0.0230695049054922	133	76	2.77083333333333	1.76744186046512	0
"Drugs"	"betalactams"	"Class_A_betalactamases"	0	0	0	0	117	66	2.4375	1.53488372093023	0.0113076923076923
"Drugs"	"betalactams"	"Class_B_betalactamases"	0	0	0	0	54	20	1.125	0.465116279069767	0
"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	0	0	0.0612067933760853	0	212	117	4.41666666666667	2.72093023255814	0
"Drugs"	"MLS"	"MLS_resistance_ABC_efflux_pumps"	0	0	0.128091447956477	0.0521571517637262	171	95	3.5625	2.2093023255814	0
"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	0	0	0.0879326726676918	0	293	193	6.10416666666667	4.48837209302326	0.0196
"Drugs"	"Multi-drug_resistance"	"Multi-drug_RND_efflux_pumps"	0	0	0.102499149306214	0	53	8	1.10416666666667	0.186046511627907	0
"Drugs"	"Mupirocin"	"Mupirocin-resistant_isoleucyl-tRNA_synthetase"	0.00244205145089287	0	0.0577594506017098	0.016032527687147	99	54	2.0625	1.25581395348837	0.0113076923076923
"Drugs"	"Mycobacterium_tuberculosis-specific_Drug"	"Para-aminosalicylic_acid_resistant_mutant"	0	0	0.108707355204818	0	37	10	0.770833333333333	0.232558139534884	0
"Drugs"	"Nucleosides"	"Streptothricin_acetyltransferase"	0	0	0.0340064726886513	0	16	1	0.333333333333333	0.0232558139534884	0
"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	0	0	0	0	164	88	3.41666666666667	2.04651162790698	0
"Metals"	"Tellurium_resistance"	"Tellurium_resistance_protein"	0	0	0	0	14	2	0.291666666666667	0.0465116279069767	0.03675
"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	0	0	0.0177691014457892	0	680	400	14.1666666666667	9.30232558139535	0
