"name"	"length"
"G527_10_P1A26_feces_S10"	25482962
"G527_18_P1A13_rumen_S18"	29229765
"G527_19_P1A14_rumen_S19"	29518792
"G527_12_P1A29_feces_S12"	30651153
"G527_17_P1A11_rumen_S17"	35907762
"G527_15_P1A8_feces_S15"	42667375
"G527_16_P1A9_feces_S16"	48967669
"G527_11_P1A28_feces_S11"	56020964
"G527_13_P1A4_feces_S13"	57143703
"G527_14_P1A7_feces_S14"	64324998
"G527_20_P1A19_rumen_S20"	36595289
"G527_1_P1A11_feces_S1"	45906186
"G527_23_P1A218_rumen_S23"	36382923
"G527_25_P1A24_rumen_S25"	30636964
"G527_24_P1A22_rumen_S24"	38563328
"G527_22_P1A20_rumen_S22"	53547937
"G527_26_P1A25_rumen_S26"	33092108
"G527_21_P1A2_rumen_S21"	61196727
"G527_29_P1A4_rumen_S29"	28587201
"G527_2_P1A13_feces_S2"	40155999
"G527_27_P1A26_rumen_S27"	53631088
"G527_28_P1A29_rumen_S28"	44326831
"G527_33_P1A11_SNP_S33"	32833125
"G527_30_P1A7_rumen_S30"	45661406
"G527_36_P1A19_SNP_S36"	27526299
"G527_35_P1A14_SNP_S35"	32509597
"G527_31_P1A8_rumen_S31"	47321859
"G527_34_P1A13_SNP_S34"	39329562
"G527_32_P1A9_rumen_S32"	46755971
"G527_37_P1A2_SNP_S37"	28938010
"G527_40_P1A24_SNP_S40"	30359341
"G527_45_P1A4_SNP_S45"	23962647
"G527_38_P1A20_SNP_S38"	41383572
"G527_41_P1A25_SNP_S41"	29857468
"G527_42_P1A26_SNP_S42"	28814939
"G527_39_P1A22_SNP_S39"	43146570
"G527_43_P1A28_SNP_S43"	34987657
"G527_44_P1A29_SNP_S44"	31852858
"G527_3_P1A14_feces_S3"	46110899
"G527_51_P2A10_feces_S51"	9390698
"G527_50_P2A1_feces_S50"	12807114
"G527_46_P1A7_SNP_S46"	25910424
"G527_53_P2A16_feces_S53"	8247927
"G527_52_P2A14_feces_S52"	9463325
"G527_55_P2A19_feces_S55"	6717865
"G527_54_P2A18_feces_S54"	9608720
"G527_58_P2A22_feces_S58"	8378715
"G527_57_P2A21_feces_S57"	9513425
"G527_59_P2A26_feces_S59"	8068791
"G527_56_P2A20_feces_S56"	12281481
"G527_49_2019_DNA_S49"	26993101
"G527_60_P2A27_feces_S60"	11795437
"G527_61_P2A28_feces_S61"	8248741
"G527_64_P2A9_feces_S64"	6403400
"G527_48_P1A9_SNP_S48"	31848585
"G527_65_P2A1_rumen_S65"	6688523
"G527_63_P2A7_feces_S63"	12515139
"G527_62_P2A29_feces_S62"	12982927
"G527_47_P1A8_SNP_S47"	40162102
"G527_66_P2A10_rumen_S66"	7560533
"G527_67_P2A14_rumen_S67"	7930594
"G527_69_P2A18_rumen_S69"	7547502
"G527_68_P2A16_rumen_S68"	8142990
"G527_71_P2A20_rumen_S71"	7464014
"G527_70_P2A19_rumen_S70"	7573191
"G527_73_P2A22_rumen_S73"	7699254
"G527_72_P2A21_rumen_S72"	9289738
"G527_75_P2A27_rumen_S75"	7269492
"G527_74_P2A26_rumen_S74"	8596218
"G527_4_P1A19_feces_S4"	50040897
"G527_76_P2A28_rumen_S76"	8681624
"G527_78_P2A1_SNP_S78"	9233467
"G527_79_P2A10_SNP_S79"	7497045
"G527_77_P2A29_rumen_S77"	10679484
"G527_82_P2A18_SNP_S82"	4814693
"G527_81_P2A16_SNP_S81"	6989398
"G527_80_P2A14_SNP_S80"	7998784
"G527_83_P2A19_SNP_S83"	6543611
"G527_84_P2A20_SNP_S84"	6841610
"G527_87_P2A26_SNP_S87"	6022454
"G527_85_P2A21_SNP_S85"	7787319
"G527_88_P2A27_SNP_S88"	7467167
"G527_86_P2A22_SNP_S86"	8863690
"G527_89_P2A28_SNP_S89"	9560468
"G527_91_P2A7_SNP_S91"	4263857
"G527_96_NoTemplate-LibraryPrep_S96"	12566
"G527_6_P1A20_feces_S6"	32432070
"G527_94_NoTemplate-DNAextraction2_S94"	3425900
"G527_90_P2A29_SNP_S90"	6941131
"G527_93_NoTemplate-DNAextraction1_S93"	4935218
"G527_92_P2A9_SNP_S92"	6043276
"G527_5_P1A2_feces_S5"	53545956
"G527_95_MockCommunity_S95"	9356933
"G527_8_P1A24_feces_S8"	40233163
"G527_7_P1A22_feces_S7"	51718001
"G527_9_P1A25_feces_S9"	48319468
