SampleID	Pool representation	BarcodeSequence	LinkerPrimerSequence	bodysite	Subject	BCS	Nasal_exsudate	Respiratory_rate	Coughing	Auscultation	Description
q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
P1A11	More represented	P1A11.feces	farm1.feces.P1A11	feces	farm1	3	1	0	0	0	feces
P1A11	More represented	P1A11.rumen	farm1.rumen.P1A11	rumen	farm1	3	1	0	0	0	rumen
P1A11	More represented	P1A11.SNP	farm1.SNP.P1A11	SNP	farm1	3	1	0	0	0	SNP
P1A13	More represented	P1A13.feces	farm1.feces.P1A13	feces	farm1	3	1	1	0	0	feces
P1A13	More represented	P1A13.rumen	farm1.rumen.P1A13	rumen	farm1	3	1	1	0	0	rumen
P1A13	More represented	P1A13.SNP	farm1.SNP.P1A13	SNP	farm1	3	1	1	0	0	SNP
P1A14	More represented	P1A14.feces	farm1.feces.P1A14	feces	farm1	3	1	0	0	0	feces
P1A14	More represented	P1A14.rumen	farm1.rumen.P1A14	rumen	farm1	3	1	0	0	0	rumen
P1A14	More represented	P1A14.SNP	farm1.SNP.P1A14	SNP	farm1	3	1	0	0	0	SNP
P1A19	More represented	P1A19.feces	farm1.feces.P1A19	feces	farm1	2.25	1	1	0	2	feces
P1A19	More represented	P1A19.rumen	farm1.rumen.P1A19	rumen	farm1	2.25	1	1	0	2	rumen
P1A19	More represented	P1A19.SNP	farm1.SNP.P1A19	SNP	farm1	2.25	1	1	0	2	SNP
P1A2	More represented	P1A2.feces	farm1.feces.P1A2	feces	farm1	3	1	0	0	0	feces
P1A2	More represented	P1A2.rumen	farm1.rumen.P1A2	rumen	farm1	3	1	0	0	0	rumen
P1A2	More represented	P1A2.SNP	farm1.SNP.P1A2	SNP	farm1	3	1	0	0	0	SNP
P1A20	More represented	P1A20.feces	farm1.feces.P1A20	feces	farm1	3	0	0	0	0	feces
P1A20	More represented	P1A20.rumen	farm1.rumen.P1A20	rumen	farm1	3	0	0	0	0	rumen
P1A20	More represented	P1A20.SNP	farm1.SNP.P1A20	SNP	farm1	3	0	0	0	0	SNP
P1A21	More represented	P1A21.rumen	farm1.rumen.P1A21	rumen	farm1	3	0	1	0	0	rumen
P1A22	More represented	P1A22.feces	farm1.feces.P1A22	feces	farm1	2	1	0	0	4	feces
P1A22	More represented	P1A22.rumen	farm1.rumen.P1A22	rumen	farm1	2	1	0	0	4	rumen
P1A22	More represented	P1A22.SNP	farm1.SNP.P1A22	SNP	farm1	2	1	0	0	4	SNP
P1A24	More represented	P1A24.feces	farm1.feces.P1A24	feces	farm1	3	0	0	0	0	feces
P1A24	More represented	P1A24.rumen	farm1.rumen.P1A24	rumen	farm1	3	0	0	0	0	rumen
P1A24	More represented	P1A24.SNP	farm1.SNP.P1A24	SNP	farm1	3	0	0	0	0	SNP
P1A25	More represented	P1A25.feces	farm1.feces.P1A25	feces	farm1	3	1	0	0	0	feces
P1A25	More represented	P1A25.rumen	farm1.rumen.P1A25	rumen	farm1	3	1	0	0	0	rumen
P1A25	More represented	P1A25.SNP	farm1.SNP.P1A25	SNP	farm1	3	1	0	0	0	SNP
